Race/Topic (Click to Sort),Poll,Results,Spread,Date,Year
Direction of Country,Reuters/Ipsos,"Right Direction 26, Wrong Track 58",Wrong Track +32,2017-01-04,2017
Direction of Country,Rasmussen Reports,"Right Direction 31, Wrong Track 59",Wrong Track +28,2017-01-09,2017
Direction of Country,IBD/TIPP,"Right Direction 42, Wrong Track 55",Wrong Track +13,2017-01-10,2017
Direction of Country,Economist/YouGov,"Right Direction 25, Wrong Track 60",Wrong Track +35,2017-01-11,2017
Direction of Country,Reuters/Ipsos,"Right Direction 24, Wrong Track 61",Wrong Track +37,2017-01-11,2017
Direction of Country,Rasmussen Reports,"Right Direction 35, Wrong Track 55",Wrong Track +20,2017-01-16,2017
Direction of Country,Monmouth,"Right Direction 27, Wrong Track 67",Wrong Track +40,2017-01-17,2017
Direction of Country,NBC News/Wall St. Jrnl,"Right Direction 37, Wrong Track 52",Wrong Track +15,2017-01-17,2017
Direction of Country,Reuters/Ipsos,"Right Direction 25, Wrong Track 59",Wrong Track +34,2017-01-18,2017
Direction of Country,CBS News,"Right Direction 29, Wrong Track 61",Wrong Track +32,2017-01-18,2017
Direction of Country,ABC News/Wash Post,"Right Direction 29, Wrong Track 63",Wrong Track +34,2017-01-18,2017
Direction of Country,Economist/YouGov,"Right Direction 23, Wrong Track 61",Wrong Track +38,2017-01-18,2017
Direction of Country,Rasmussen Reports,"Right Direction 38, Wrong Track 54",Wrong Track +16,2017-01-23,2017
Direction of Country,Reuters/Ipsos,"Right Direction 22, Wrong Track 59",Wrong Track +37,2017-01-25,2017
Direction of Country,Economist/YouGov,"Right Direction 29, Wrong Track 55",Wrong Track +26,2017-01-25,2017
Direction of Country,Rasmussen Reports,"Right Direction 47, Wrong Track 47",Tie,2017-01-30,2017
Direction of Country,Reuters/Ipsos,"Right Direction 30, Wrong Track 52",Wrong Track +22,2017-02-01,2017
Direction of Country,Economist/YouGov,"Right Direction 35, Wrong Track 52",Wrong Track +17,2017-02-01,2017
Direction of Country,Rasmussen Reports,"Right Direction 46, Wrong Track 49",Wrong Track +3,2017-02-06,2017
Direction of Country,IBD/TIPP,"Right Direction 50, Wrong Track 48",Right Direction +2,2017-02-06,2017
Direction of Country,Reuters/Ipsos,"Right Direction 32, Wrong Track 54",Wrong Track +22,2017-02-08,2017
Direction of Country,Economist/YouGov,"Right Direction 31, Wrong Track 55",Wrong Track +24,2017-02-08,2017
Direction of Country,Rasmussen Reports,"Right Direction 45, Wrong Track 50",Wrong Track +5,2017-02-13,2017
Direction of Country,Economist/YouGov,"Right Direction 31, Wrong Track 52",Wrong Track +21,2017-02-15,2017
Direction of Country,Reuters/Ipsos,"Right Direction 31, Wrong Track 52",Wrong Track +21,2017-02-15,2017
Direction of Country,Rasmussen Reports,"Right Direction 46, Wrong Track 48",Wrong Track +2,2017-02-20,2017
Direction of Country,Economist/YouGov,"Right Direction 34, Wrong Track 53",Wrong Track +19,2017-02-22,2017
Direction of Country,McClatchy/Marist,"Right Direction 39, Wrong Track 55",Wrong Track +16,2017-02-22,2017
Direction of Country,Reuters/Ipsos,"Right Direction 31, Wrong Track 54",Wrong Track +23,2017-02-22,2017
Direction of Country,CBS News,"Right Direction 35, Wrong Track 60",Wrong Track +25,2017-02-23,2017
Direction of Country,NBC News/Wall St. Jrnl,"Right Direction 40, Wrong Track 51",Wrong Track +11,2017-02-26,2017
Direction of Country,Rasmussen Reports,"Right Direction 45, Wrong Track 51",Wrong Track +6,2017-02-27,2017
Direction of Country,Reuters/Ipsos,"Right Direction 35, Wrong Track 51",Wrong Track +16,2017-03-01,2017
Direction of Country,Economist/YouGov,"Right Direction 36, Wrong Track 53",Wrong Track +17,2017-03-01,2017
Direction of Country,Rasmussen Reports,"Right Direction 45, Wrong Track 49",Wrong Track +4,2017-03-06,2017
Direction of Country,IBD/TIPP,"Right Direction 44, Wrong Track 54",Wrong Track +10,2017-03-06,2017
Direction of Country,Monmouth,"Right Direction 36, Wrong Track 56",Wrong Track +20,2017-03-06,2017
Direction of Country,USA Today/Suffolk,"Right Direction 46, Wrong Track 43",Right Direction +3,2017-03-07,2017
Direction of Country,Reuters/Ipsos,"Right Direction 34, Wrong Track 49",Wrong Track +15,2017-03-08,2017
Direction of Country,Economist/YouGov,"Right Direction 33, Wrong Track 53",Wrong Track +20,2017-03-08,2017
Direction of Country,Rasmussen Reports,"Right Direction 42, Wrong Track 53",Wrong Track +11,2017-03-13,2017
Direction of Country,Reuters/Ipsos,"Right Direction 32, Wrong Track 51",Wrong Track +19,2017-03-15,2017
Direction of Country,Economist/YouGov,"Right Direction 35, Wrong Track 51",Wrong Track +16,2017-03-15,2017
Direction of Country,Rasmussen Reports,"Right Direction 40, Wrong Track 54",Wrong Track +14,2017-03-20,2017
Direction of Country,Reuters/Ipsos,"Right Direction 33, Wrong Track 54",Wrong Track +21,2017-03-22,2017
Direction of Country,Economist/YouGov,"Right Direction 34, Wrong Track 53",Wrong Track +19,2017-03-22,2017
Direction of Country,Rasmussen Reports,"Right Direction 38, Wrong Track 56",Wrong Track +18,2017-03-27,2017
Direction of Country,Reuters/Ipsos,"Right Direction 32, Wrong Track 53",Wrong Track +21,2017-03-29,2017
Direction of Country,Economist/YouGov,"Right Direction 33, Wrong Track 54",Wrong Track +21,2017-03-29,2017
Direction of Country,McClatchy/Marist,"Right Direction 34, Wrong Track 59",Wrong Track +25,2017-03-30,2017
Direction of Country,IBD/TIPP,"Right Direction 39, Wrong Track 59",Wrong Track +20,2017-04-03,2017
Direction of Country,Rasmussen Reports,"Right Direction 35, Wrong Track 59",Wrong Track +24,2017-04-03,2017
Direction of Country,Reuters/Ipsos,"Right Direction 34, Wrong Track 52",Wrong Track +18,2017-04-05,2017
Direction of Country,Economist/YouGov,"Right Direction 32, Wrong Track 54",Wrong Track +22,2017-04-05,2017
Direction of Country,Rasmussen Reports,"Right Direction 36, Wrong Track 57",Wrong Track +21,2017-04-10,2017
Direction of Country,Economist/YouGov,"Right Direction 36, Wrong Track 53",Wrong Track +17,2017-04-12,2017
Direction of Country,Marist,"Right Direction 34, Wrong Track 57",Wrong Track +23,2017-04-14,2017
Direction of Country,Rasmussen Reports,"Right Direction 41, Wrong Track 53",Wrong Track +12,2017-04-17,2017
Direction of Country,Reuters/Ipsos,"Right Direction 30, Wrong Track 55",Wrong Track +25,2017-04-18,2017
Direction of Country,Economist/YouGov,"Right Direction 35, Wrong Track 53",Wrong Track +18,2017-04-19,2017
Direction of Country,Rasmussen Reports,"Right Direction 42, Wrong Track 52",Wrong Track +10,2017-04-24,2017
Direction of Country,NBC News/Wall St. Jrnl,"Right Direction 34, Wrong Track 59",Wrong Track +25,2017-04-24,2017
Direction of Country,Reuters/Ipsos,"Right Direction 29, Wrong Track 55",Wrong Track +26,2017-04-26,2017
Direction of Country,CBS News,"Right Direction 36, Wrong Track 59",Wrong Track +23,2017-04-26,2017
Direction of Country,Economist/YouGov,"Right Direction 33, Wrong Track 53",Wrong Track +20,2017-04-26,2017
Direction of Country,Rasmussen Reports,"Right Direction 38, Wrong Track 55",Wrong Track +17,2017-05-01,2017
Direction of Country,Reuters/Ipsos,"Right Direction 33, Wrong Track 54",Wrong Track +21,2017-05-03,2017
Direction of Country,Economist/YouGov,"Right Direction 36, Wrong Track 51",Wrong Track +15,2017-05-03,2017
Direction of Country,IBD/TIPP,"Right Direction 43, Wrong Track 56",Wrong Track +13,2017-05-08,2017
Direction of Country,Rasmussen Reports,"Right Direction 39, Wrong Track 54",Wrong Track +15,2017-05-08,2017
Direction of Country,Economist/YouGov,"Right Direction 35, Wrong Track 54",Wrong Track +19,2017-05-10,2017
Direction of Country,Reuters/Ipsos,"Right Direction 30, Wrong Track 55",Wrong Track +25,2017-05-10,2017
Direction of Country,Rasmussen Reports,"Right Direction 37, Wrong Track 57",Wrong Track +20,2017-05-15,2017
Direction of Country,Economist/YouGov,"Right Direction 30, Wrong Track 59",Wrong Track +29,2017-05-17,2017
Direction of Country,Reuters/Ipsos,"Right Direction 28, Wrong Track 57",Wrong Track +29,2017-05-17,2017
Direction of Country,Rasmussen Reports,"Right Direction 34, Wrong Track 60",Wrong Track +26,2017-05-22,2017
Direction of Country,Economist/YouGov,"Right Direction 30, Wrong Track 57",Wrong Track +27,2017-05-24,2017
Direction of Country,Monmouth,"Right Direction 31, Wrong Track 62",Wrong Track +31,2017-05-24,2017
Direction of Country,Reuters/Ipsos,"Right Direction 25, Wrong Track 59",Wrong Track +34,2017-05-24,2017
Direction of Country,Rasmussen Reports,"Right Direction 37, Wrong Track 56",Wrong Track +19,2017-05-29,2017
Direction of Country,Economist/YouGov,"Right Direction 31, Wrong Track 57",Wrong Track +26,2017-05-31,2017
Direction of Country,Reuters/Ipsos,"Right Direction 28, Wrong Track 57",Wrong Track +29,2017-05-31,2017
Direction of Country,Rasmussen Reports,"Right Direction 33, Wrong Track 61",Wrong Track +28,2017-06-05,2017
Direction of Country,Economist/YouGov,"Right Direction 32, Wrong Track 56",Wrong Track +24,2017-06-07,2017
Direction of Country,IBD/TIPP,"Right Direction 43, Wrong Track 55",Wrong Track +12,2017-06-08,2017
Direction of Country,Reuters/Ipsos,"Right Direction 27, Wrong Track 58",Wrong Track +31,2017-06-08,2017
Direction of Country,Rasmussen Reports,"Right Direction 37, Wrong Track 57",Wrong Track +20,2017-06-12,2017
Direction of Country,Reuters/Ipsos,"Right Direction 28, Wrong Track 57",Wrong Track +29,2017-06-14,2017
Direction of Country,Economist/YouGov,"Right Direction 35, Wrong Track 53",Wrong Track +18,2017-06-14,2017
Direction of Country,Rasmussen Reports,"Right Direction 35, Wrong Track 58",Wrong Track +23,2017-06-19,2017
Direction of Country,CBS News,"Right Direction 31, Wrong Track 64",Wrong Track +33,2017-06-20,2017
Direction of Country,Reuters/Ipsos,"Right Direction 24, Wrong Track 63",Wrong Track +39,2017-06-21,2017
Direction of Country,Economist/YouGov,"Right Direction 30, Wrong Track 56",Wrong Track +26,2017-06-21,2017
Direction of Country,Rasmussen Reports,"Right Direction 37, Wrong Track 57",Wrong Track +20,2017-06-26,2017
Direction of Country,NPR/PBS/Marist,"Right Direction 31, Wrong Track 63",Wrong Track +32,2017-06-28,2017
Direction of Country,Economist/YouGov,"Right Direction 32, Wrong Track 57",Wrong Track +25,2017-06-28,2017
Direction of Country,Reuters/Ipsos,"Right Direction 25, Wrong Track 60",Wrong Track +35,2017-06-28,2017
Direction of Country,USA Today/Suffolk,"Right Direction 32, Wrong Track 56",Wrong Track +24,2017-06-29,2017
Direction of Country,Rasmussen Reports,"Right Direction 36, Wrong Track 57",Wrong Track +21,2017-07-03,2017
Direction of Country,IBD/TIPP,"Right Direction 39, Wrong Track 60",Wrong Track +21,2017-07-05,2017
Direction of Country,Economist/YouGov,"Right Direction 33, Wrong Track 55",Wrong Track +22,2017-07-05,2017
Direction of Country,Reuters/Ipsos,"Right Direction 29, Wrong Track 58",Wrong Track +29,2017-07-05,2017
Direction of Country,Rasmussen Reports,"Right Direction 36, Wrong Track 58",Wrong Track +22,2017-07-10,2017
Direction of Country,Reuters/Ipsos,"Right Direction 29, Wrong Track 58",Wrong Track +29,2017-07-12,2017
Direction of Country,Economist/YouGov,"Right Direction 34, Wrong Track 55",Wrong Track +21,2017-07-12,2017
Direction of Country,Rasmussen Reports,"Right Direction 33, Wrong Track 61",Wrong Track +28,2017-07-17,2017
Direction of Country,Bloomberg,"Right Direction 32, Wrong Track 61",Wrong Track +29,2017-07-17,2017
Direction of Country,Reuters/Ipsos,"Right Direction 26, Wrong Track 59",Wrong Track +33,2017-07-19,2017
Direction of Country,Economist/YouGov,"Right Direction 31, Wrong Track 58",Wrong Track +27,2017-07-19,2017
Direction of Country,Rasmussen Reports,"Right Direction 33, Wrong Track 61",Wrong Track +28,2017-07-24,2017
Direction of Country,Economist/YouGov,"Right Direction 32, Wrong Track 57",Wrong Track +25,2017-07-26,2017
Direction of Country,Reuters/Ipsos,"Right Direction 23, Wrong Track 62",Wrong Track +39,2017-07-26,2017
Direction of Country,Rasmussen Reports,"Right Direction 33, Wrong Track 61",Wrong Track +28,2017-07-31,2017
Direction of Country,Economist/YouGov,"Right Direction 30, Wrong Track 57",Wrong Track +27,2017-08-02,2017
Direction of Country,Reuters/Ipsos,"Right Direction 25, Wrong Track 61",Wrong Track +36,2017-08-02,2017
Direction of Country,Rasmussen Reports,"Right Direction 32, Wrong Track 60",Wrong Track +28,2017-08-07,2017
Direction of Country,IBD/TIPP,"Right Direction 36, Wrong Track 63",Wrong Track +27,2017-08-07,2017
Direction of Country,Economist/YouGov,"Right Direction 31, Wrong Track 57",Wrong Track +26,2017-08-09,2017
Direction of Country,Reuters/Ipsos,"Right Direction 27, Wrong Track 59",Wrong Track +32,2017-08-09,2017
Direction of Country,Rasmussen Reports,"Right Direction 36, Wrong Track 56",Wrong Track +20,2017-08-14,2017
Direction of Country,Monmouth,"Right Direction 33, Wrong Track 57",Wrong Track +24,2017-08-15,2017
Direction of Country,Marist,"Right Direction 34, Wrong Track 61",Wrong Track +27,2017-08-15,2017
Direction of Country,Reuters/Ipsos,"Right Direction 24, Wrong Track 60",Wrong Track +36,2017-08-16,2017
Direction of Country,Economist/YouGov,"Right Direction 28, Wrong Track 61",Wrong Track +33,2017-08-16,2017
Direction of Country,Rasmussen Reports,"Right Direction 30, Wrong Track 64",Wrong Track +34,2017-08-21,2017
Direction of Country,Economist/YouGov,"Right Direction 26, Wrong Track 62",Wrong Track +36,2017-08-23,2017
Direction of Country,Reuters/Ipsos,"Right Direction 21, Wrong Track 66",Wrong Track +45,2017-08-23,2017
Direction of Country,GWU/Battleground,"Right Direction 28, Wrong Track 64",Wrong Track +36,2017-08-24,2017
Direction of Country,Rasmussen Reports,"Right Direction 29, Wrong Track 64",Wrong Track +35,2017-08-28,2017
Direction of Country,Reuters/Ipsos,"Right Direction 23, Wrong Track 65",Wrong Track +42,2017-08-30,2017
Direction of Country,Economist/YouGov,"Right Direction 28, Wrong Track 62",Wrong Track +34,2017-08-30,2017
Direction of Country,Rasmussen Reports,"Right Direction 32, Wrong Track 61",Wrong Track +29,2017-09-04,2017
Direction of Country,Reuters/Ipsos,"Right Direction 27, Wrong Track 60",Wrong Track +33,2017-09-06,2017
Direction of Country,Economist/YouGov,"Right Direction 31, Wrong Track 57",Wrong Track +26,2017-09-06,2017
Direction of Country,Rasmussen Reports,"Right Direction 34, Wrong Track 59",Wrong Track +25,2017-09-11,2017
Direction of Country,Economist/YouGov,"Right Direction 31, Wrong Track 57",Wrong Track +26,2017-09-13,2017
Direction of Country,Reuters/Ipsos,"Right Direction 26, Wrong Track 59",Wrong Track +33,2017-09-13,2017
Direction of Country,Rasmussen Reports,"Right Direction 31, Wrong Track 62",Wrong Track +31,2017-09-18,2017
Direction of Country,Economist/YouGov,"Right Direction 31, Wrong Track 59",Wrong Track +28,2017-09-20,2017
Direction of Country,Reuters/Ipsos,"Right Direction 26, Wrong Track 60",Wrong Track +34,2017-09-20,2017
Direction of Country,Rasmussen Reports,"Right Direction 33, Wrong Track 60",Wrong Track +27,2017-09-25,2017
Direction of Country,CBS News,"Right Direction 29, Wrong Track 65",Wrong Track +36,2017-09-25,2017
Direction of Country,Reuters/Ipsos,"Right Direction 25, Wrong Track 61",Wrong Track +36,2017-09-27,2017
Direction of Country,Economist/YouGov,"Right Direction 28, Wrong Track 60",Wrong Track +32,2017-09-27,2017
Direction of Country,Rasmussen Reports,"Right Direction 29, Wrong Track 65",Wrong Track +36,2017-10-02,2017
Direction of Country,PBS/Marist,"Right Direction 28, Wrong Track 65",Wrong Track +37,2017-10-03,2017
Direction of Country,Economist/YouGov,"Right Direction 27, Wrong Track 63",Wrong Track +36,2017-10-04,2017
Direction of Country,Reuters/Ipsos,"Right Direction 25, Wrong Track 63",Wrong Track +38,2017-10-04,2017
Direction of Country,USA Today/Suffolk,"Right Direction 24, Wrong Track 64",Wrong Track +40,2017-10-05,2017
Direction of Country,Rasmussen Reports,"Right Direction 32, Wrong Track 62",Wrong Track +30,2017-10-09,2017
Direction of Country,IBD/TIPP,"Right Direction 35, Wrong Track 64",Wrong Track +29,2017-10-10,2017
Direction of Country,Reuters/Ipsos,"Right Direction 24, Wrong Track 64",Wrong Track +40,2017-10-11,2017
Direction of Country,Economist/YouGov,"Right Direction 29, Wrong Track 60",Wrong Track +31,2017-10-11,2017
Direction of Country,Rasmussen Reports,"Right Direction 31, Wrong Track 63",Wrong Track +32,2017-10-16,2017
Direction of Country,Emerson,"Right Direction 40, Wrong Track 50",Wrong Track +10,2017-10-16,2017
Direction of Country,Economist/YouGov,"Right Direction 31, Wrong Track 59",Wrong Track +28,2017-10-18,2017
Direction of Country,Reuters/Ipsos,"Right Direction 26, Wrong Track 63",Wrong Track +37,2017-10-18,2017
Direction of Country,Marist,"Right Direction 31, Wrong Track 63",Wrong Track +32,2017-10-19,2017
Direction of Country,Rasmussen Reports,"Right Direction 33, Wrong Track 61",Wrong Track +28,2017-10-23,2017
Direction of Country,Economist/YouGov,"Right Direction 31, Wrong Track 60",Wrong Track +29,2017-10-25,2017
Direction of Country,Reuters/Ipsos,"Right Direction 24, Wrong Track 64",Wrong Track +40,2017-10-25,2017
Direction of Country,Harvard-Harris,"Right Direction 29, Wrong Track 60",Wrong Track +31,2017-10-27,2017
Direction of Country,Rasmussen Reports,"Right Direction 32, Wrong Track 62",Wrong Track +30,2017-10-30,2017
Direction of Country,Reuters/Ipsos,"Right Direction 26, Wrong Track 63",Wrong Track +37,2017-11-01,2017
Direction of Country,Economist/YouGov,"Right Direction 31, Wrong Track 58",Wrong Track +27,2017-11-01,2017
Direction of Country,CBS News,"Right Direction 31, Wrong Track 64",Wrong Track +33,2017-11-01,2017
Direction of Country,Rasmussen Reports,"Right Direction 34, Wrong Track 60",Wrong Track +26,2017-11-06,2017
Direction of Country,IBD/TIPP,"Right Direction 40, Wrong Track 59",Wrong Track +19,2017-11-06,2017
Direction of Country,Reuters/Ipsos,"Right Direction 24, Wrong Track 63",Wrong Track +39,2017-11-08,2017
Direction of Country,Economist/YouGov,"Right Direction 27, Wrong Track 62",Wrong Track +35,2017-11-08,2017
Direction of Country,Rasmussen Reports,"Right Direction 33, Wrong Track 61",Wrong Track +28,2017-11-13,2017
Direction of Country,Marist,"Right Direction 27, Wrong Track 67",Wrong Track +40,2017-11-15,2017
Direction of Country,Economist/YouGov,"Right Direction 30, Wrong Track 58",Wrong Track +28,2017-11-15,2017
Direction of Country,Reuters/Ipsos,"Right Direction 26, Wrong Track 62",Wrong Track +36,2017-11-15,2017
Direction of Country,Harvard-Harris,"Right Direction 30, Wrong Track 58",Wrong Track +28,2017-11-17,2017
Direction of Country,Rasmussen Reports,"Right Direction 33, Wrong Track 61",Wrong Track +28,2017-11-20,2017
Direction of Country,NPR/PBS/Marist,"Right Direction 34, Wrong Track 58",Wrong Track +24,2017-11-21,2017
Direction of Country,Reuters/Ipsos,"Right Direction 24, Wrong Track 63",Wrong Track +39,2017-11-22,2017
Direction of Country,Economist/YouGov,"Right Direction 32, Wrong Track 57",Wrong Track +25,2017-11-22,2017
Direction of Country,Rasmussen Reports,"Right Direction 35, Wrong Track 58",Wrong Track +23,2017-11-27,2017
Direction of Country,Reuters/Ipsos,"Right Direction 28, Wrong Track 58",Wrong Track +30,2017-11-29,2017
Direction of Country,Economist/YouGov,"Right Direction 31, Wrong Track 56",Wrong Track +25,2017-11-29,2017
Direction of Country,Rasmussen Reports,"Right Direction 35, Wrong Track 58",Wrong Track +23,2017-12-04,2017
Direction of Country,Economist/YouGov,"Right Direction 33, Wrong Track 57",Wrong Track +24,2017-12-06,2017
Direction of Country,Reuters/Ipsos,"Right Direction 28, Wrong Track 58",Wrong Track +30,2017-12-06,2017
Direction of Country,IBD/TIPP,"Right Direction 41, Wrong Track 58",Wrong Track +17,2017-12-06,2017
Direction of Country,Rasmussen Reports,"Right Direction 34, Wrong Track 61",Wrong Track +27,2017-12-11,2017
Direction of Country,Marist,"Right Direction 31, Wrong Track 64",Wrong Track +33,2017-12-12,2017
Direction of Country,Economist/YouGov,"Right Direction 35, Wrong Track 55",Wrong Track +20,2017-12-13,2017
Direction of Country,Reuters/Ipsos,"Right Direction 25, Wrong Track 62",Wrong Track +37,2017-12-13,2017
Direction of Country,Monmouth,"Right Direction 25, Wrong Track 66",Wrong Track +41,2017-12-13,2017
Direction of Country,USA Today/Suffolk,"Right Direction 31, Wrong Track 58",Wrong Track +27,2017-12-13,2017
Direction of Country,Harvard-Harris,"Right Direction 32, Wrong Track 56",Wrong Track +24,2017-12-13,2017
Direction of Country,Rasmussen Reports,"Right Direction 35, Wrong Track 59",Wrong Track +24,2017-12-18,2017
Direction of Country,NBC News/Wall St. Jrnl,"Right Direction 29, Wrong Track 63",Wrong Track +34,2017-12-19,2017
Direction of Country,Reuters/Ipsos,"Right Direction 27, Wrong Track 61",Wrong Track +34,2017-12-20,2017
Direction of Country,Economist/YouGov,"Right Direction 36, Wrong Track 55",Wrong Track +19,2017-12-20,2017
Direction of Country,Rasmussen Reports,"Right Direction 38, Wrong Track 56",Wrong Track +18,2017-12-25,2017
Direction of Country,Economist/YouGov,"Right Direction 37, Wrong Track 52",Wrong Track +15,2017-12-27,2017
Direction of Country,Rasmussen Reports,"Right Direction 40, Wrong Track 55",Wrong Track +15,2018-01-01,2018
Direction of Country,Economist/YouGov,"Right Direction 37, Wrong Track 53",Wrong Track +16,2018-01-03,2018
Direction of Country,Reuters/Ipsos,"Right Direction 33, Wrong Track 54",Wrong Track +21,2018-01-03,2018
Direction of Country,Rasmussen Reports,"Right Direction 38, Wrong Track 56",Wrong Track +18,2018-01-08,2018
Direction of Country,Economist/YouGov,"Right Direction 38, Wrong Track 52",Wrong Track +14,2018-01-10,2018
Direction of Country,Reuters/Ipsos,"Right Direction 34, Wrong Track 53",Wrong Track +19,2018-01-10,2018
Direction of Country,Rasmussen Reports,"Right Direction 40, Wrong Track 54",Wrong Track +14,2018-01-15,2018
Direction of Country,Reuters/Ipsos,"Right Direction 30, Wrong Track 57",Wrong Track +27,2018-01-17,2018
Direction of Country,Economist/YouGov,"Right Direction 39, Wrong Track 53",Wrong Track +14,2018-01-17,2018
Direction of Country,CBS News,"Right Direction 34, Wrong Track 60",Wrong Track +26,2018-01-18,2018
Direction of Country,NPR/PBS/Marist,"Right Direction 37, Wrong Track 55",Wrong Track +18,2018-01-18,2018
Direction of Country,Harvard-Harris,"Right Direction 35, Wrong Track 55",Wrong Track +20,2018-01-19,2018
Direction of Country,Rasmussen Reports,"Right Direction 39, Wrong Track 55",Wrong Track +16,2018-01-22,2018
Direction of Country,Economist/YouGov,"Right Direction 37, Wrong Track 55",Wrong Track +18,2018-01-24,2018
Direction of Country,Reuters/Ipsos,"Right Direction 30, Wrong Track 58",Wrong Track +28,2018-01-24,2018
Direction of Country,Harvard-Harris,"Right Direction 35, Wrong Track 54",Wrong Track +19,2018-01-24,2018
Direction of Country,Rasmussen Reports,"Right Direction 39, Wrong Track 55",Wrong Track +16,2018-01-29,2018
Direction of Country,Economist/YouGov,"Right Direction 39, Wrong Track 51",Wrong Track +12,2018-01-31,2018
Direction of Country,Reuters/Ipsos,"Right Direction 35, Wrong Track 54",Wrong Track +19,2018-01-31,2018
Direction of Country,Monmouth,"Right Direction 39, Wrong Track 55",Wrong Track +16,2018-01-31,2018
Direction of Country,Rasmussen Reports,"Right Direction 42, Wrong Track 53",Wrong Track +11,2018-02-05,2018
Direction of Country,IBD/TIPP,"Right Direction 45, Wrong Track 54",Wrong Track +9,2018-02-06,2018
Direction of Country,Economist/YouGov,"Right Direction 39, Wrong Track 52",Wrong Track +13,2018-02-07,2018
Direction of Country,Reuters/Ipsos,"Right Direction 32, Wrong Track 55",Wrong Track +23,2018-02-07,2018
Direction of Country,Marist,"Right Direction 37, Wrong Track 57",Wrong Track +20,2018-02-09,2018
Direction of Country,Rasmussen Reports,"Right Direction 43, Wrong Track 52",Wrong Track +9,2018-02-12,2018
Direction of Country,Reuters/Ipsos,"Right Direction 32, Wrong Track 56",Wrong Track +24,2018-02-14,2018
Direction of Country,Economist/YouGov,"Right Direction 39, Wrong Track 52",Wrong Track +13,2018-02-14,2018
Direction of Country,Rasmussen Reports,"Right Direction 40, Wrong Track 55",Wrong Track +15,2018-02-19,2018
Direction of Country,Harvard-Harris,"Right Direction 37, Wrong Track 54",Wrong Track +17,2018-02-21,2018
Direction of Country,Economist/YouGov,"Right Direction 35, Wrong Track 55",Wrong Track +20,2018-02-21,2018
Direction of Country,Reuters/Ipsos,"Right Direction 31, Wrong Track 57",Wrong Track +26,2018-02-21,2018
Direction of Country,Rasmussen Reports,"Right Direction 37, Wrong Track 56",Wrong Track +19,2018-02-26,2018
Direction of Country,Reuters/Ipsos,"Right Direction 31, Wrong Track 57",Wrong Track +26,2018-02-28,2018
Direction of Country,Economist/YouGov,"Right Direction 34, Wrong Track 58",Wrong Track +24,2018-02-28,2018
Direction of Country,USA Today/Suffolk,"Right Direction 29, Wrong Track 60",Wrong Track +31,2018-03-01,2018
Direction of Country,Rasmussen Reports,"Right Direction 40, Wrong Track 53",Wrong Track +13,2018-03-05,2018
Direction of Country,Economist/YouGov,"Right Direction 34, Wrong Track 56",Wrong Track +22,2018-03-07,2018
Direction of Country,Reuters/Ipsos,"Right Direction 31, Wrong Track 56",Wrong Track +25,2018-03-07,2018
Direction of Country,Monmouth,"Right Direction 33, Wrong Track 60",Wrong Track +27,2018-03-07,2018
Direction of Country,Rasmussen Reports,"Right Direction 37, Wrong Track 56",Wrong Track +19,2018-03-12,2018
Direction of Country,GWU/Battleground,"Right Direction 35, Wrong Track 59",Wrong Track +24,2018-03-13,2018
Direction of Country,Reuters/Ipsos,"Right Direction 31, Wrong Track 56",Wrong Track +25,2018-03-14,2018
Direction of Country,Economist/YouGov,"Right Direction 36, Wrong Track 54",Wrong Track +18,2018-03-14,2018
Direction of Country,Rasmussen Reports,"Right Direction 41, Wrong Track 53",Wrong Track +12,2018-03-19,2018
Direction of Country,Economist/YouGov,"Right Direction 35, Wrong Track 54",Wrong Track +19,2018-03-21,2018
Direction of Country,Reuters/Ipsos,"Right Direction 34, Wrong Track 56",Wrong Track +22,2018-03-22,2018
Direction of Country,Marist,"Right Direction 36, Wrong Track 55",Wrong Track +19,2018-03-23,2018
Direction of Country,Rasmussen Reports,"Right Direction 39, Wrong Track 56",Wrong Track +17,2018-03-26,2018
Direction of Country,Economist/YouGov,"Right Direction 34, Wrong Track 57",Wrong Track +23,2018-03-28,2018
Direction of Country,Reuters/Ipsos,"Right Direction 30, Wrong Track 59",Wrong Track +29,2018-03-29,2018
Direction of Country,Harvard-Harris,"Right Direction 37, Wrong Track 53",Wrong Track +16,2018-04-02,2018
Direction of Country,Rasmussen Reports,"Right Direction 38, Wrong Track 55",Wrong Track +17,2018-04-02,2018
Direction of Country,IBD/TIPP,"Right Direction 43, Wrong Track 55",Wrong Track +12,2018-04-02,2018
Direction of Country,Economist/YouGov,"Right Direction 35, Wrong Track 55",Wrong Track +20,2018-04-04,2018
Direction of Country,Reuters/Ipsos,"Right Direction 34, Wrong Track 57",Wrong Track +23,2018-04-04,2018
Direction of Country,Rasmussen Reports,"Right Direction 40, Wrong Track 54",Wrong Track +14,2018-04-09,2018
Direction of Country,Reuters/Ipsos,"Right Direction 29, Wrong Track 61",Wrong Track +32,2018-04-11,2018
Direction of Country,Economist/YouGov,"Right Direction 35, Wrong Track 56",Wrong Track +21,2018-04-11,2018
Direction of Country,NBC News/Wall St. Jrnl,"Right Direction 31, Wrong Track 62",Wrong Track +31,2018-04-15,2018
Direction of Country,Rasmussen Reports,"Right Direction 40, Wrong Track 54",Wrong Track +14,2018-04-16,2018
